department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,coder,folder_name
IR,MA,https://tinyurl.com/iresma2018,2018,45,https://sierra.ceu.edu/record=b1399037,http://www.etd.ceu.edu/2018/cakir_ozge.pdf ,"Cakir, Ãzge",Artificial intelligence and human security : understanding the role of human in contemporary warfare / Ãzge Cakir,"Budapest : Central European University, 2018",60 p. ; 30 cm.,CEU International Relations Department master theses ; 2018/14,English,"Throughout history, the nature of warfare has evolved in light of technological developments. The 21st century is witnessing rapid developments in artificial intelligence (AI) technology and their implications in the military sphere. The accelerating intelligence and autonomy that these developments provide the weapon systems are among the main features of the recent Revolution in Military Affairs (RMA). At the same time these features create a feeling of anxiety about the role of humans on the battlefield. This thesis seeks to scrutinize the main reasons behind the failure of the Critical Security Studies (CSS) scholarsâ attempts to approach the altering nature of warfare and the role of human from a Human Security perspective. Therefore, it argues that in order to address the paradigm shifts in contemporary warfare and how it affects the role of humans on the battlefield successfully, Human Security should be re-connected with war-making. Instead of putting too much emphasis on drone warfare as the existing literature suggests, the more recent developments with the risk of eliminating humans from war-making should be addressed. Achieving a clearer understanding of what sort of motives that artificially intelligent units have would make it possible to control these motives. Thus, it would be possible for Human Security to successfully address the decreasing role of human in war-making.",Degree: MA,PDF file (944k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,cakir_ozge.pdf 
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419944,http://www.etd.ceu.edu/2019/cankurt_ilkin.pdf ,"Cankurt, Ilkin","The limits of Roma upward mobility : urban agency in the Tuzcu neighborhood of Izmir, Turkey / Ilkin Cankurt","Budapest : Central European University, 2019",61 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/7,English,"This thesis focuses on the constraints and contingencies to upward mobility of Roma in the spatially segregated neighborhood of Tuzcu in Izmir, Turkey. Based on five-month-long ethnographic fieldwork, this thesis shows the spatial dynamics in the neighborhood, where economic change and urban transformation limit career paths and residential mobility. Furthermore, this thesis reveals the effect of neighborhood on habitual dispositions of Tuzcu residents such as language incompetency, taste and gestures which are visible stigma signs of Tuzcu Roma. These aspects crystallize in the accessibility of forms of capital and induces economic poverty and stigmatization that reproduce their position in social space. Within this frame, I firstly explore tactics of Tuzcu Roma concerning poverty, stigmatization and the neighborhood effect. several tactics navigating the infrastructure of the neighborhood and the Turkish welfare system with the purpose of income generation. Other agentic processes include creating social and spatial distance . Regarding stigmatization as the outcome of Tuzcu Roma habitus, I scrutinize impression management of Roma by drawing on Goffmanian passing and covering strategies. Passing through covering emerges as the main strategy both among socially mobile and immobile Tuzcu Roma. When they draw on only iterational elements of stigmatized habitual dispositions, strategies are not successful. On the other hand, effective passing strategies through covering stem from cleft habitus of Tuzcu Roma which make use of projective and practical-evaluative element of the agentic dimension. Therefore, the achieved individual upward mobility does not transform the macro structure.",Degree: MA,PDF file (547k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,cankurt_ilkin.pdf 
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1410971,http://www.etd.ceu.edu/2018/chytil_mario.pdf ,"Chytil, MariÃ³",Analysis of deviations of reticuloruminal pH data of dairy cattle and development of a rumen condition scoring system / MariÃ³ Chytil,"Budapest : Central European University, 2018",12 p. ; 30 cm.,CEU Economics Department master theses ; 2018/51,English,"My Capstone Project is aimed at describing the fluctuation of pH values with time series models, but also goes farther in two aspects: firstly I used always three models to capture patterns in the data enabling also the comparison between them through fit measures, (developed methodology offers the possibility of the inclusion of three models with parametrizable features) and secondly â due to the complexity and difficult interpretability of the results of the models â I established a simplified scoring system, which will show farm owners deviations from the established pattern(s) by means of scores characteristic for given animal.",Degree: MSc,PDF file (166k),ETD,Capstone  project,Unrestricted,,,MA,2,chytil_mario.pdf 
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429246,http://www.etd.ceu.edu/2020/connolly_alexander.pdf ,"Connolly, Alexander Robert",Canadian rangers : a space for the hybridization of governmental and indigenous security discourses / Alexander Robert Connolly,"Budapest : Central European University, 2020",49 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/12,English,"Derived from the Pacific Coast Rangers, who were created in the latter years of the Second World War, the present Canadian Rangers, who operate in the North, are a military force of mainly Indigenous individuals, with many from the northern provinces being Inuit. Thus, while the Rangers are technically a member of the Canadian Forces, their unique membership with the northern communities separates them from traditional army discourse. The role of the Canadian Rangers in the Arctic theatre is to provide a continuous sovereign presence in the north and assist in the training of southern troops on how to survive the gruelling conditions of the Arctic. However, they also assist the everyday lives of Inuit and Indigenous communities where they are stationed. The below project will illustrate how the interaction of the Inuit and the Canadian Forces within the Canadian Rangers acts as a space for a âhybridizationâ of security through the actions of Arctic training exercises and patrol missions",Degree: MA,PDF file (432k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,connolly_alexander.pdf 
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399887,http://www.etd.ceu.edu/2018/davidovic_jovana.pdf ,"Davidovic, Jovana",Unraveling the Black Mountain : authoritarian submission and party preference in Montenegro / Jovana Davidovic,"Budapest : Central European University, 2018",91 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/6,English,"Why some post-communist countries regularly experience democratic overturn of power while others not? Concentrating on the psychological factors that could prevent democratic competitiveness in post-communist area, this thesis investigates the relationship between one particular dimension of authoritarian personality â authoritarian submission, and party preferences in Montenegro - the country that never changed the incumbent government since the breakdown of communism. I adopt a novel approach to tap into the multi-dimensional examination of authoritarianism, concentrating on three dimensions (authoritarian submission, conventionalism, authoritarian aggression) separately. I argue that authoritarian submission, as a psychological construct that stands for obedient relation to political authority and upbringing patterns, has a potential to explain domination of Democratic Party of Socialists â DPS. I test my assumptions using survey research. More precisely, I use two surveys â Montenegrin National Elections Study (2016) â MNES, and a self-designed student survey (2018). Notwithstanding the Montenegrin/Serb ethnic cleavage that remains significant, findings from both analyses confirm that submissive tendencies are relevant for voting this party, thus emphasizing the relevance of psychological factors for the democratic potential of post-communist countries.",,PDF file (1630k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,davidovic_jovana.pdf 
Gender studies,MA,https://tinyurl.com/genderma2020,2020,26,https://sierra.ceu.edu/record=b1429187,http://www.etd.ceu.edu/2021/dumitru_maria.pdf ,"Dumitru, Maria Georgiana",Multiple discrimination and untold stories of resistance : a case study of Romanian Roma women conducting informal street work in Oslo / Maria Dumitru,"Budapest : Central European University, 2020",90 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2020/26,English,"This thesis aims to challenge the stereotypical collective image toward Romanian Roma women by offering a study case that examines the experiences of Romani women who live in a state of unintentional homelessness in Oslo, Norway and survive by begging, recycling bottles, or selling magazines. To tackle the hegemonic knowledge, which is predominantly toxified by negative prejudices toward Roma, the special narratives of Roma women refute these images and seek to disclose untold stories of resistance. As this is the first case study made on this topic by a Roma woman, I aim to create a space for the silenced voices of Romanian Roma women whose narratives and struggles remain unheard. In order to conduct a thorough investigation of the intersectional discrimination suffered by Roma women and the outcome of their oppression, I will use the framework of intersectionality and explore the concepts of resistance developed by Roma women. Thus, by taking the cases of Romani women who are left in extreme poverty in Romania and, therefore, âforcedâ to migrate as a strategy of survival to provide for them and their families, I will analyze both the intersectional experiences of Roma women and the forms of resistance they have developed as a way in resisting oppression.Hence, this study also aims to challenge the previous research made on Roma migration to Norway and Western countries by tackling the missing female experiences of Romani women in light of their multifaceted forms of discrimination that stem from being women, Roma, poor, migrants, and homeless.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,dumitru_maria.pdf 
Mathematics,PhD,http://tinyurl.com/cysrae, PhD (all years),63,https://sierra.ceu.edu/record=b1427973,http://www.etd.ceu.edu/2020/duyan_hulya.pdf ,"Zamora Luna, Oscar Alonso",Quantitative and extremal problems in graphs and hypergraphs / Oscar Zamora Luna,"Budapest : Central European University, 2020",84 p. ; 30 cm.,CEU Department of Mathematics PhD theses ; 2020/7,Mathematics,Degree: PhD,Probabilities,English,PDF file (749k),In this thesis we investigate several extremal problems in graphs and hypergraphs. In graphs we study generalized TurÃ¡n Problems in simple graphs and in planar graphs. In hypergraphs we study TurÃ¡n numbers of Berge Graphs and the Ramsey numbers of certain families.,ETD,Graph theory,,PhD,2,duyan_hulya.pdf 
Gender studies,MA,https://tinyurl.com/genderma2020,2020,26,https://sierra.ceu.edu/record=b1428475,http://www.etd.ceu.edu/2020/edwards_jennifer.pdf ,"Edwards, Jennifer Catherine","Queer(ing) community : queer community, spatiality, and temporality in Madison, WI / Jennifer Edwards","Budapest : Central European University, 2020",98 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2020/10,English,"This thesis is a blended ethnographic analysis of the queer nightlife scene in Madison, Wisconsin USA, focused specifically on queer pop-up events. These events began in reaction to a homonormative and exclusionary permanent gay nightlife scene. I begin by providing background about Madison, its queer subculture, and the racial and class dynamics within the city. In the first chapter, I address the complications of defining queerness and community in both academic and organizing work, engaging in theoretical understandings of both terms, as well as incorporating the definitions and understandings of research participants. I use discourse analysis to parse the descriptions of several queer pop-up events in Madison and the political engagements of both permanent gay bars and Queer Pressure, a significant queer pop-up event series. In the second chapter, I begin with an analysis of the notion of the sacred within th scene, then move to engage with Jack Halberstamâs concepts of queer temporality and spatiality to consider the implications and possibilites of pop-up and queer takeover style events, in part by reflecting on sets, the spaces the parties take place in, and the transient nature of event series and Madison queers. In the third chapter, I take up the question of queer politics and intersectionality by reading Micheal Warnerâs definition of queer politics alongside Lisa Dugganâs conception of the homonormative, and reflect on the resonances of intersectionality and crip theory within these frameworks. I then discuss the homonormative politics of the Madison LGBTQ+ community, and contrast them with an analysis of Queer Pressureâs political commitments. The final section of this chapter is a case study of the No Cops at Pride movement, reactions to and consequences of its engagement with radical queer politics, and a brief analysis of the resonance of this movement in 2018 with the racial justice mass movement of 2020. Ultimately, I do not strive to make any overarching conclusions with this thesis, but rather to take seriously and consider deeply a particular moment in time in the place that I consider home, and to gesture towards a more complex engagement with the queer spaces that exists in between the rural and the urban in the United States.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,edwards_jennifer.pdf 
Legal studies,MA,https://tinyurl.com/legalma2020,2020,78,https://sierra.ceu.edu/record=b1429003,http://www.etd.ceu.edu/2020/elbasuoney_ahmed.pdf ,"Elbasuoney, Ahmed",Constitutional courts in transition / Ahmed Elbasuoney,"Budapest : Central European University, 2020",32 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2020/20,English,"The thesis examines the constitutional reforms to judicial review institutions in Egypt, Morocco and Tunisia in the waka of the Arab Spring",Degree: MA,PDF file (515k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,elbasuoney_ahmed.pdf 
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399963,http://www.etd.ceu.edu/2018/fleck_david-marton.pdf ,"Fleck, DÃ¡vid MÃ¡rton",Estimating demand and market power in two-sided markets : case of Hungarian newspaper industry / DÃ¡vid MÃ¡rton Fleck,"Budapest : Central European University, 2018",40 p. ; 30 cm.,CEU Economics Department master theses ; 2018/15,English,"I propose a model for estimating demand in two-sided markets where two groups of agents interact through an intermediary platform. The model takes into account the cross-group network effects between the two sides. Based on the estimated demand parameters, platformsâ markup on both sides can be recovered, making it possible to measure market power in two-sided markets. One of the most typical examples for two-sided markets is the newspaper industry, where advertisers and readers interact through newspapers. Using two-stage least squares fixed effect estimation in Hungarian daily newspaper market between 2008 and 2016, I find that readers value advertising, their demand elasticities, however, are relatively low with respect to advertising content as well as to cover price. Estimating advertising side did not provide meaningful results, suggesting that distortions are likely to be present in the Hungarian newspaper advertising market.",Degree: MA,PDF file (1181k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,2,fleck_david-marton.pdf 
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1164782,http://www.etd.ceu.edu/2013/fphtug01.pdf ,"Turturea, George Romeo",Can interdependent reasoning help provide a solution to the problem of political obligation? / George Romeo Turturea,"Budapest : Central European University, 2013",217 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2013/1,English,"My purpose is to provide an answer to the question whether interdependent reasons for action can help provide a solution to the problem of political obligation. I propose an investigation which unfolds in two parts. In the first part, I examine the relationships that hold between personal autonomy, political authority and rationality, focusing on a reading of these relationships according to which, even though autonomous individuals may not a have reason to comply with the directives of political authority as long as they consider the matter from the standpoint of individual rationality, they may nevertheless have a reason to comply with such directives if they consider the matter from the standpoint of collective rationality. I explore the strengths and limitations of a model that tries to provide the normative foundations of political obligation by employing the principle of collective rationality, and conclude that, while the principle of collective rationality plainly dictates a greater level of compliance with the law than the principle of individual rationality taken in conjunction with an individualâs moral values would dictate, the same considerations which are invoked to establish the need to appeal to a principle that would give one a reason to obey the law over and above what substantive moral principles working within the framework of individual rationality give one reason to do might render implausible any attempt to account for political obligation by reference to such substantive moral principles. To deal with this difficulty, I introduce a particular conventionalist account, hoping to take a step in the direction of rehabilitating the idea that the reasons for obeying the law can be accounted for by appeal to substantive moral considerations.  In the second part, I scrutinize the main arguments used within the conventionalist framework that I focus on in order to back up the claim that political obligation, if it exists, can only be accounted for in terms of interdependent reasons for action. I look at the idea that a promising strategy in dealing with the problem of political obligation is to show that the treatment of ordinary coordination problems can be extended to other game theoretic situations, such as the prisonerâs dilemma. I find that the conventionalist account is able to answer the objection that any conventionalist account of authority and political obligation is misguided because the conventionalist analysis cannot properly be applied to situations of significant conflict of interests. I also argue that, in order to defend the conventionalist view according to which political obligation is to be justified by reference to a pattern of mutual expectations, one should make crucial use of the idea of cooperative dispositions. To this end, I show that conventionalists are right in claiming that assumptions about cooperative dispositions are not ad hoc, and, hence, that conventionalism can make sense of the idea that patterns of mutual expectations are not immune to moral criticism.",Degree: PhD,PDF file (1326k),ETD,Unrestricted,,Political obligation,,PhD,2,fphtug01.pdf 
