department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,author,title,published,description,series,language,summary,note,filetype,localnote,access,systemdet,subject,alttitle,program_sampling,flag,coder
IR,MA,https://tinyurl.com/iresma2018,2018,45,https://sierra.ceu.edu/record=b1399014,http://www.etd.ceu.edu/2018/aslantepe_goknur.pdf ,"Aslantepe, GÃ¶knur",Women politicians of a masculine state : gendered politics in Turkey / GÃ¶knur Aslantepe,"Budapest : Central European University, 2018",53 p. ; 30 cm.,CEU International Relations Department master theses ; 2018/3,Women -- Turkey -- Political activity,English,The thesis examines the masculine character of the branches of government of Turkey. Theoretical framework of the thesis is based on feminist international relation theory. Thesis demonstrate the futures of male-dominated politics by investigations historical process of women and current conditions of women politicians in political institutions of Turkey.,Degree: MA,PDF file (835k),ETD,Unrestricted,Women in politics -- Turkey,,MA,0,1
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399149,http://www.etd.ceu.edu/2018/castillo_sidney.pdf ,"Castillo Cardenas, Sidney Alberto",(Not) the fate of our fathers : a social and cognitive approximation to the changing religious landscape in Peru among young adults / Sidney Alberto Castillo Cardenas,(Not) the faith of our fathers : a social and cognitive approximation to the changing religious landscape in Peru among young adults,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/2,English,"A major change in the contemporary global religious landscape is currently in progress, and Peru is not a stranger to it: the rise of the religious nones and unaffiliated, the incidence of religious institutions or groups in local politics as part of transnational efforts, and the emergence of ever-evolving nuanced religiosities have been also part of Peruvian daily life for the past 25 plus years. Such general process, defined by a departure from exclusively institutional religious worldviews towards more diverse ones, is in tune with what occurs at the latin american/regional and local levels; and yet at the same time itâs also far from being homogeneous to all social realities in which it takes place, as the Peruvian case provides also with examples. Given this contrasting relationship between the local and the global, it is worth questioning as to what is the cause (or causes) attributable for these shared differences in form, but not in content. In the present thesis, I will address this question in arguing that religious socialization experiences, in the form of Credibility Enhancing Displays (CREDs onwards), are one of the main conditioners for shaping contemporary Peruvian religious and secular worldviews. CREDs are related to instances of observable behavior from an individualâs peers that generate an impact on them, based on how they act accordingly to what is stipulated in their respective religious belief systems or expressed religious convictions. In turn and over time, different CREDs will allow for the acquisition, maintenance or relegation of religious belief and their negotiations, which give rise to diversified worldviews.  For this purpose, I have placed as unit of analysis the age group of Peruvian young adults, (18-29 y.o.) all of them being university students located in Lima-Peru, since, as it will be argued, Peruvian youth within this age group experiences religious socialization in differentiated ways to previous generations, namely, in their general socialization experiences; in the accessing of novel media elements; in the engagement of social movements; and, in the adoption of a consumer ethos.  An interdisciplinary theoretical and methodological approach will be the basis for the elaboration of the argument, in which concepts from the fields of Cognitive Science of Religion and Sociology (in the form of theories of religious socialization) will serve as analytical tools; while grounded techniques based on Q-methodology have been used for the data gathering process of 320 surveys, 43 q-sorts, and 43 structured interviews. As a result of this exploration, a preliminary proposal of ideal-type models of religious and secular worldviews will be outlined. With this exercise, my thesis expects to contribute, not only to the study of contemporary religious worldviews but as an effort for interdisciplinary dialogue between disciplines and fields of research.",Degree: MA,PDF file (864k),ETD,Unrestricted,,,MA,0,1
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399180,http://www.etd.ceu.edu/2018/barmina_alexandra.pdf ,"Barmina, Alexandra",Labor under authoritarian neoliberal regime : work experiences of independent journalists in Russia / Alexandra Barmina,"Budapest : Central European University, 2018",63 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/11,English,"This study analyzes labor experiences and subjectivities of independent journalists in Russia as conditioned by the specific mode of authoritarian neoliberal regime. While current labor studies focus mostly on the impact of neoliberalization on labor, this thesis demonstrates that experiences of workers, engaged in cultural production in authoritarian states, are conditioned by the stateâs endeavor at reproduction of symbolic order and marginalization of those in conflict with the hegemonic state project as well. For this reason, labor of journalists under authoritarian neoliberal regime is characterized as âpoliticallyâ and âeconomicallyâ precarious, and these two dimensions of precarity are closely intertwined. Journalists simultaneously face lack of stable contracts, employment insecurity, menace of media outlets being shut-down and even life threat. This research discusses how independent journalists in Russia experience and articulate these insecurities, related to specific economic and political contexts in which their labor is placed. The thesis demonstrates that political dimension of precarity, engendered by the authoritarian regime, is treated by journalists as the most problematic, whereas economic insecurities, albeit solidly present, tend to be ignored. Among the reasons for non- acknowledgement of the economic dimension of precarity are specific understanding of labor journalists share, their liberal ideologies, strong affective bindings to a job, widespread among cultural workers, and privileged class positions. Perception of political insecurities as the dominant threat also contributes to disregard of poor formal labor conditions.",Degree: MA,PDF file (547k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399301,http://www.etd.ceu.edu/2018/younes_racha.pdf ,"Younes, Rasha","""Toeing the sectarian line "" : negotiations between the spatial, economic, and ideological consumption and production of counter-hegemonic resistance for ""Beirut Madinati"" / Rasha Younes","Budapest : Central European University, 2018",71 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/22,English,"This thesis begins by situating political sectarianism, in its complex systems of operation, as the historical hegemony around which Lebanese civil society congregates to make meaning of its own discord and create possibilities for alternative ideology. I depart from a Gramscian analysis of sectarianism as a historically and politically situated power-sharing mechanism wielded by Lebanese political elites to determine and perpetuate the economic, social, and ideological positions of their members. Within a dialectical framework of resisting sectarianism through political participation, I investigate the possibilities of emergence and conditions of resistance for counter-hegemonic movements in Lebanon. Drawing on ethnographic fieldwork conducted in Beirut, I mobilize the case study of the self-proclaimed counter-sectarian civil society movement âBeirut Madinati.â In particular, by interrogating the inner-workings of âBeirut Madinati,â I argue that this oppositional movementâs ability to resist is hinged on its access to and consumption of a neoliberal sectarian space, economy, and formal discourse, which led to its counter-hegemonic paralysis. Vis-Ã -vis the case of counter-sectarianism in Beirut, I conclude by emphasizing that instead of focusing solely on the conceptual ideological terrain of resistance, it is imperative to re-imagine scholarly and activism connotations of resistance to include its pragmatic materialization in its situated spatial context.",Degree: MA,PDF file (1334k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1399530,http://www.etd.ceu.edu/2018/simic_nemanja.pdf ,"Simic, Nemanja",Following the US approach on private equity structures in Serbia / Nemanja Simic,"Budapest : Central European University, 2018",71 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/28,English,"Private equity is a concept that encompasses many related disciplines, like business, economy, financing, management, etc. This thesis aims to provide a clear overview of one of its layers Ã¢â¬â the legal one. Out of several branches of law affected by this concept, the research will focus primarily on structuring, i.e. on the choices of corporate vehicles for business operations and legal consequences that such choices brings with them. In addition, special attention will be paid to tax considerations of such options as they by default heavily affect both the choice of business vehicles and operations of private equity industry in general. The primary reason for making such analysis lies in the fact that up to date scholarly works on legal aspects of private equity in Serbia are essentially descriptive. They do not give the answer as to why private equity industry in the country has not made a substantial progress for more than a decade after its regulation. Nor do they establish a comparative model upon which the industry can look upon. In this research, it is suggested that the US system may serve as such model. For these purposes, it explores the characteristics of the US system and the options it offers. The thesis will conclude that having a choice between several business vehicles and tax treatments is beneficial for the development of private equity industry in a country. Notably, the system needs to provide the possibility for private equity funds and firms to operate as flexible entities that are also fiscally transparent. This conclusion outlines the need for the developing countries to constantly reexamine their approach when it comes to the legal treatment of private equity. Overall, the research shows that civil law systems have many lessons to adopt from the American experience with the regulation of private equity industry. Out of it also comes the recommendation for future scholarly works on alternative models for the development of the industry in Serbia.",Degree: MA,PDF file (785k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399916,http://www.etd.ceu.edu/2018/poltoratskaya_vikt.pdf ,"Poltoratskaya, Viktoriia",Accountability of federal systems : factors of budgetary performance in Russia and Germany  / Viktoriia Poltoratskaya,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/28,English,"This work is devoted to the analysis of two federations - Germany and Russia in the period from 1991 to 2016. This research is answering the question why, despite the existing legacy of federative relations with the substantial level of decentralization and accountability with democratic traditions German regions does not show good budgetary performance, whereas in the absence of historical legacy and accountability mechanisms and with the high level of political centralization in Russia, it is possible to create system with the better budgetary performance. The hypothesis of this research was that indeed, the historical heritage and democratic rules increase the level of decentralization and accountability, but this does not necessarily lead to better budgetary performance because of the weak budgetary constraints and incentives. The results of this study approve this hypothesis. Tested by crisp-set Qualitative Comparative analysis this research shows several important tendencies. Despite of the historical roots, federal legacy and democratic type of regime leading to a greater level of decentralization, budgetary performance is not a direct consequence of such a system. With a relatively high level of decentralization, many of Germany's decentralization mechanisms work towards a worse performance. In particular, a strong level of fiscal decentralization, a lack of transparent budgetary allocation mechanisms (which are mainly related to the type of parliamentary political system), and a large number of equalizing federal transfers together with an uncontrolled regional opportunity to borrow money lead to a worse budgetary performance in that country. On the other hand, a more centralized system with lower level of accountability more often shows the better results in terms of budgetary performance, although some centralization tendencies (primarily political ones) do not contribute to the best level of budgetary indicators. Thus, the main conclusion of this work that hard budget constraints together with transparent responsibilities division allow a higher level of budgetary performance in Russia and Germany. These findings contribute to the literature on political economy of federal systems.",,PDF file (987k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399921,http://www.etd.ceu.edu/2018/shishov_aleksandr.pdf ,"Shishov, Aleksandr",Identifying the Heideggerian footprint in post-communist Russia's radical political thought / Aleksandr Shishov,"Budapest : Central European University, 2018",61 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/33,English,"At present, despite significant interest in Russian politics and its benchmark status for claims regarding the rise of illiberal tendencies, very little is done to investigate the developments within Russiaâs eclectic philosophical landscape. This paper examines the political theory of one the most controversial and curious Russian intellectuals - Aleksandr Dugin. In his key work âThe Fourth Political Theoryâ Dugin dismisses liberalism, communism and fascism and proposes an approach to political philosophy that, according to his argumentation, fosters an authentic relationship with Being by conceptualising Heideggerâs category of Dasein as the subject of politics. This paper suggests that Duginâs theory constitutes a genuine and unique example of Right-Heideggerianism and expands on the ideas of conservative revolutionaries through incorporating the major theoretical developments of the 20th century. It is demonstrated that identifying the key premise of Duginâs approach to political philosophy as the insistence on the ontological primacy of community in relation to the construction of the human self, envisioned in Heideggerian terms, allows for Duginâs political application of Heideggerâs fundamental ontology to be both sufficiently distinct from present currents in political thought, and flexible to be appropriated as a new conceptual foundation by a wide array of radical conservative and right-wing movements.",,PDF file (884k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399930,http://www.etd.ceu.edu/2018/toth_gergo.pdf ,"TÃ³th, GergÅ",Social interaction as cues : a low-cost tool for changing political opinion / GergÅ TÃ³th,"Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/42,English,"Social science literature has long investigated the relationship between political behavior and social networks, however, it is usually hard to excavate a true causal relationship between political views and social affiliations. The common feature of political science literature related to a social network is that they mostly focus on whether the individualsâ political views and their social networks co-evolve or not. According to the recent literature, social networks do not simply evolve but also stimulate our political behavior. Most of the literature finds that people seek individuals with similar political views to be friends with and individuals who often talk to each other tend to be more similar over time Although there is broad agreement on that while our social network is dynamically flourishing, it is also affecting our attitude, but the process of this impact is still not clear. This research aims to examine the channel between social affiliations to the changes of political behavior. The research uses network data collected from experiments to specify the social affiliation effects on the change of political views under a deliberation process. The results suggest that, on the one hand, political opinion significantly influences friendship network formation, which fosters social homophily. On the other hand, a significant spillover effect has found on the likelihood of political opinion change, where the spillover effect strongly depends on the peersâ network centrality.",,PDF file (1517k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,MA,https://tinyurl.com/ecoma2018,2018,52,https://sierra.ceu.edu/record=b1399992,http://www.etd.ceu.edu/2018/pitia_modi.pdf ,"Pitia, Modi Denis Elikana",Could lack Of Central Bank independency result into hyperinflation case study : South Sudan  / Modi Denis Elikana Pitia,"Budapest : Central European University, 2018",70 p. ; 30 cm.,CEU Economics Department master theses ; 2018/33,English,"South Sudan is one of the newest country in the globe and AfricaÃ¢â¬â¢s 55th nation that got its independence on 9, July 2011 after a long civil war that lasted for more than twenty-five years. After gaining independence South Sudan economy has been faced with a number of challenges as the government tries to implement its development objectives. On 11 November 2013, the Central Bank of South Sudan made changes to its official exchange rate which was initially pegged to United States dollar by devaluing its currency by 42% and further by 84% in 2015. This act resulted into general increase in the prices of goods and services since the country is import dependent to a large extent. This research paper will try to understand whether the currency devaluation could be a lead cause towards the increased inflation and even hyperinflation in the country. Secondly, the research will also try to investigate the extent to which Central Bank is independent and how the lack of independence helped the emergence of hyperinflation in South Sudan. The research will also try to analyze the inflationary historical aspects of the East African region based on the precolonial and postcolonial times so as to examine other factors that might have caused inflation in the region while addressing the economic growth challenges. The research will also take into consideration a theoretical overview of Sudan and South Sudan economy before and after independence since these two countries were once one. The research paper will finally draw conclusion from different views while trying to investigate the impact of Central Bank independence and currency devaluation in relation to causes of hyperinflation in South Sudan. Suggested policy recommendation will be provided for policy makers.",Degree: MA,PDF file (1814k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Philosophy,MA,https://tinyurl.com/philma2018,2018,9,https://sierra.ceu.edu/record=b1400148,http://www.etd.ceu.edu/2018/yu_yangsen.pdf ,"Yu, Yangsen",Conditional analysis and reason explanation / Yangsen Yu,"Budapest : Central European University, 2018",49 p. ; 30 cm.,CEU Philosophy Department master theses ; 2018/9,English,"In my thesis, I am going to argue against the idea that the conditional analysis and the reason explanation are completely different projects. I will say that the conditional analysis and the reason explanation share many similarities and by bridging the two, the two groups of theorists can enrich their respective accounts. I will first reject the simple version of conditional analysis for its own deficiency. I will also point out that despite the initial impression that they are different, conditional analysis and the reason explanation are actually both about semantics investigation. I will then argue that part of the conditional analysis of freedom can be made to be a reason explanation of action, because it contains enough information explain the action in question. Thus by bringing the two even closer.",Degree: MA,PDF file (840k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Gender studies,MA,https://tinyurl.com/genderma2018,2018,29,https://sierra.ceu.edu/record=b1400344,http://www.etd.ceu.edu/2018/vukosavljevic_jovana.pdf ,"Vukosavljevic, Jovana",Whose sex? : public opinion on sexual education initiative in Serbia / Jovana Vukosavljevic,"Budapest : Central European University, 2018",87 p. ; 30 cm.,CEU Gender Studies Department master theses ; 2018/23,English,"The sex education initiative was introduced in 2013 by the Serbian Provincial Secretariat for Sports and Youth as an elective course in Serbian high schools. This type of project has not yet been recorded in Serbian education, therefore it received an enormous amount of attention. In this thesis, I look at the discourses of sex education in contemporary Serbia, through a content analysis of media texts, political statements and social media, as well as by analyzing interviews conducted with parents in the capital of Serbia, Belgrade during April 2015. In my thesis I argue that the narratives around sexual education reflect the nationalist ideas, as well the ongoing debate on âEuropeanizationâ in Serbia. By presenting the role of women's body in the nationalist rhetoric, I examine the topics on women, reproduction and nation through the analysis of perceptions of sex education in Serbia. Later on I present how the narratives of sex education reflect the idea of East/West, tradition/modernity in Serbia. My case study contributes to existing scholarship on gender and nationalism in Serbian context, adding sex education as an angle for the analysis.",Degree: MA,PDF,ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401713,http://www.etd.ceu.edu/2018/adhikari_anshu.pdf ,"Adhikari, Anshu",Nepalese low-skilled migrants in Portugal : skill perception and skill gaining strategies / Anshu Adhikari,"Budapest : Central European University, 2018",57 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/4,English,"The aim of the research is to understand skill development avenues adapted by low- skilled Nepalese migrants in Portugal. With a sudden and huge inflow of low-skilled immigrants in the EU since the European migration crisis, it is necessary to understand how Portugal has adopted policies on skill development to build low-skilled immigrants' competencies in the European job market. With the changes in policies of immigration and skill development, it has also become important to analyze migrants' perception of skills and their strategies of adapting further skills to be employed on high-skill jobs. The purpose of the dissertation is about investigating the integration of migrants into EU labor markets. It also explores labor migration from South Asia to continental Europe in order to find gapes in European labor migration policies, and strategies used by low- skilled labors coming from South Asia. Particular emphasis is given to the case of Nepalese low-skilled migrants in exploring migrants' understanding of their skills, their strategy in attaining available skill gaining opportunity and their decision on transnational mobility after their stay in Portugal. The dissertation is structured to show the research aim, objective and methodology. The dissertation introduces Portugal and the extent of low-skilled migrants working in the Portuguese labor market. Following the literature of skill measurement and skill mismatch, the paper highlights the limited proxies used for skill measurement. With in-depth interviews with low-skilled Nepalese migrants, the research shows how migrants perceive their skills in the foreign land irrespective of their educational attainments. Finally, the analysis derived from the interviews questions the existing integration programmes and its effectiveness.",Degree: MA,PDF file (2223k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401863,http://www.etd.ceu.edu/2018/murphy_therese.pdf ,"Murphy, Therese Joan",Predictive policing and the carceral state : a comparative case analysis of Palantir in New Orleans and the strategic subject list in Chicago / Therese Joan Murphy,"Budapest : Central European University, 2018",48 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/28,English,"Police departments across the United States use predictive policingâalgorithm-based analytical tools aimed at forecasting crimeâto maximize scarce resources and prevent crime. However, these programs raise significant legal and ethical concerns, including lack of privacy, transparency, accountability, and oversight. Using the case studies of Palantir in New Orleans and the Strategic Subjects List in Chicago, this thesis identifies the emergence of a new byproduct of predictive policing: the surveillance city. It examines the morality and legality of this new development, analyzing two notable issuesâracial bias and the democratic deficit. It subsequently provides recommendations on how to mitigate the effects of the surveillance city through sustained public engagement through a coalition-based civil rights movement for the digital age. It also seeks to explain some of the developments in predictive policing and the impediments to further reform using a carceral state framework, which has not previously been done in the academic literature.",Degree: MA,PDF file (1079k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401880,http://www.etd.ceu.edu/2018/trlifaj_simon.pdf ,"Trlifaj, Simon","How knowledge becomes a public good : permanency, patents and secrecy / Simon Trlifaj","Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/40,English,"Knowledge is often considered to be a public good, and many policy proposals take lessons from public goods management and apply them to knowledge creation. I argue that this is an oversimplification. Knowledge can be partially rival and excludable, and companies routinely use secrecy to mitigate the risk of knowledge disclosure. The path of an invention from an inventor to general knowledge is far from straightforward, influenced by many factors including institutional interventions such as patents. I introduce a new property of permanencyâthe inability to reverse transactions with a goodâto analyze how knowledge becomes a public good. To show the effects of permanency empirically, I use assignment data on over four million US patents to test the hypothesis that patents on relatively less reverse-engineerable inventions will more likely be reassigned sooner after the application date. The results of a logistic and survival regression support this hypothesis, which suggests that permanency plays a role in motivations of inventors and companies to patent. Future research on knowledge creation and disclosure and policy proposals for patent reforms thus should employ a more nuanced conceptualization of knowledge, in which permanency plays a role.",Degree: MA,PDF file (1563k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Environmental sciences,MSc,https://tinyurl.com/envma2018,2018,22,https://sierra.ceu.edu/record=b1401939,http://www.etd.ceu.edu/2018/jawaid_eqra.pdf ,"Jawaid, Eqra","The growth of solar off-grid energy technology : a case study of Dharnai solar village in Bihar, India / Eqra Jawaid","Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Department of Environmental Sciences & Policy master theses ; 2018/12,English,"Despite the efforts of rural electrification from both central and state governments, Bihar is the least electrified state in the country. It is found in the literature that decentralized solutions such as renewable off-grid systems can be a viable and more efficient option for rural electrification. Recently, a smart solar off-grid system has been developed in Dharnai village in Bihar with the assistance of Greenpeace India. The aim of the thesis was to investigate and identify drivers and barriers to the growth of the solar off-grid system in Dharnai, fill the knowledge gap about the solar off-grid sector, and provide recommendations to improve the sector in the state. Data collected from interviews and focus group discussion in Dharnai was analyzed using Painulyâs (2001) framework. The findings suggested that significant drivers are unmet demands of consumers, policy ambitions, consumerâs capacity and willingness to pay, benefits of solar perceived by consumers, an indicator of development, and uncertainty about the grid connection. Furthermore, significant barriers to the growth of solar off-grid systems are policy loopholes, unmet demands of consumers, consumerâs affordability, and lack of financing options. The thesis recommends that the Bihar government should start awareness campaigns to improve consumerâs lack of awareness about the benefits of solar off-grid systems; make grid expansion predictable so that consumers have clarity about its timeline; take appropriate measures to improve financing and overall affordability of the consumers.",Degree: MSc,PDF file (1571k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Legal studies,MA,https://tinyurl.com/legalma2018,2018,60,https://sierra.ceu.edu/record=b1405852,http://www.etd.ceu.edu/2019/taba_szabolcs.pdf ,"Taba, Szabolcs SÃ¡ndor",Protection orders as tools of defending women victims of domestic violence in light of the European standards : Austria and Hungary / Szabolcs SÃ¡ndor Taba,"Budapest : Central European University, 2018",133 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2018/51,English,"The thesis aims at presenting the role of protection orders as tools of defending victims of domestic violence against women. It assesses the development and the significance of these measures in the context of statesâ due diligence obligation. It provides an analysis of the relevant case law of the European Court of Human Rights and the Court of Justice of the European Union, and defines the cornerstones of the protection level to be provided by the state. It presents and compares the rules in force in Austria and in Hungary and identifies their weaknesses. It argues that the objective of the protection orders of providing prompt assistance for victims is undoubted. However, as can be seen in practice, the legal provisions and their realization is often incomprehensibly far from the intended goals as if the legislator had not understood the essence of the issue. Without improvement, some of the rules are nothing more than just providing the opportunity for the state of claiming the completion of one of its international obligations. In order for the protection orders effectively to fulfil their mission, states, officials of law enforcement authorities and even ordinary citizens must realize the deep-rooted nature of violence against women. Therefore, not only the rules and the practice of the authorities should be improved, but peopleâs mindset also has to be altered for attaining the objectives pursued. This positive change should be facilitated by the state itself which would presumably have repercussions on the legislatorâs approach.",Degree: MA,PDF file (1782k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Economics,Business,https://tinyurl.com/ecobus2018,2018,26,https://sierra.ceu.edu/record=b1410988,http://www.etd.ceu.edu/2018/elhence_geeta.pdf ,"Elhence, Geeta",Predict customer purchase behavior : product return rate / Geeta Elhence,"Budapest : Central European University, 2018",11 p. ; 30 cm.,CEU Economics and Business Department master theses ; 2018/7,English,"The main objective of this project was to implement Machine Learning power, in order to predict the customer return rate for an American ecommerce which sells office supplies, furniture and electronic equipment online. The E commerce",Degree: MSc,PDF file (664k),ETD,Capstone  project,Unrestricted,.,,Business,0,1
Economics,Business,https://tinyurl.com/ecobus2018,2018,26,https://sierra.ceu.edu/record=b1410996,http://www.etd.ceu.edu/2018/tsubakiyama_sho.pdf ,"Tsubakiyama, Sho Samuel",Learning by experience : building a decision tree to QC and resolve data issues / Sho Samuel Tsubakiyama,"Budapest : Central European University, 2018",10 p. ; 30 cm.,CEU Economics and Business Department master theses ; 2018/13,English,"This thesis tracks a project that I conducted at an asset management firm where I developed an automated decision tree that quality controls data and resolves issues. The decision tree utilises SQL, UNIX, and C-based programming. Besides a technical documentation, this paper documents the challenges and successes of this project from a management perspective.",Degree: MSc,PDF file (131k),ETD,Capstone  project,Unrestricted,.,,Business,0,1
Economics,Business,https://tinyurl.com/ecobus2018,2018,26,https://sierra.ceu.edu/record=b1411249,http://www.etd.ceu.edu/2018/kattika_lalith.pdf ,"Kattika, Lalith Kumar",Financial planning & valuation of a new venture : Oriana Hungary / Lalith Kumar Kattika,"Budapest : Central European University, 2018",12 p. ; 30 cm,CEU Economics and Business Department master theses ; 2018/19,English,The financial planning and valuation of a new sub-division of Oriana for presenting to the investors. The key deliverables for the project were analyzing the current financial plan and company valuation of the new venture before advancing to the investors.,Degree: MSc,PDF file (318k),ETD,Capstone  project,Unrestricted,.,,Business,0,1
School of public policy,MA,https://tinyurl.com/sppma2019,2019,30,https://sierra.ceu.edu/record=b1415548,http://www.etd.ceu.edu/2019/goodrich_ian.pdf ,"Goodrich, Ian Edward",Mapping the laundromat : a network analysis of money laundering in the United Kingdom / Ian Edward Goodrich,"Budapest : Central European University, 2019",79 p. ; 30 cm.,CEU School of Public Policy master theses ; 2019/2,English,"Money laundering enables crime, saps public resources, and undermines the state in rich and poor countries alike. Investigations into money laundering, once traditionally the domain of government, financial institutions and international bodies, are increasingly being undertaken by journalists, NGOs and academics. Using the case study of the United Kingdom, this study explores the use of network analysis for the study money laundering using open data. Using a custom-built Python module, this study analyses money laundering risk in over 2,000 corporate networks and 130,000 companies from the UK Companies House registry. At the company level, it finds that high risk companies may be younger and more likely to use the Limited Liability Partnership structure. At a network level, it provides tentative evidence that companies used for money laundering may cluster with other such companies, and that network size and triangular graph structures may have potential for use in risk prediction using open data.",Degree: MA,PDF file (3342k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
Sociology,MSc,https://tinyurl.com/socma2019,2019,27,https://sierra.ceu.edu/record=b1419976,http://www.etd.ceu.edu/2019/udvari_orsolya.pdf ,"Udvari, Orsolya",Ways of seeing the other migration in contemporary Hungarian cinema / Orsolya Udvari,"Budapest : Central European University, 2019",48 p. ; 30 cm.,CEU Sociology Department master theses ; 2019/22,English,"Around 2015, the migration wave had a huge impact in Hungary. The crisis had resulted in the intensification of the migration discourse that was never seen before in the country. A part of this intensification was a strong state campaign that has been built on the crisis: a nationalist and hegemonic rhetoric which was rejective and hostile towards migrants, asylum seekers and refugees. This propaganda spoke about migratory processes in the framework of securitization where the process was understood and mobilized as a threat to the European-Christian culture. This narrative was not only rhetorically but visually outstanding. State financed posters and advertisements represented âthe migrantâ as a voiceless, faceless, male, violent, dark-skinned person who is not even an individual but exists in a horde-like group of people. Besides of this xenophobic and hostile context, counter-hegemonic narratives emerged not just in the form of social movements but, as I argue, in the artistic-visual field too. In my thesis, I focus on this contemporary counter-discourse of the Hungarian cinema through the lenses of three movies which have a privileged position in the âmigration movieâ corpus in Hungary, not only because all of them was funded by the state but because they earned nationwide recognition. These movies are The Citizen (2016), Jupiterâs Moon (2017) and Easy Lessons (2018). The first part of my research would like to contextualize these movies with special regard to their socio-political and cultural context. For this, I carry out discourse analysis on the already existing literature. After, I make the analysis of the movies themselves to explore the place of them in the discourse on visual representation and migration after 2015. The main questions of the analysis are how these movies are the part of the counter-discourse, what are those circumstances by the dominant state discourse that could challenge free artistic expression, and in which ways aesthetic and political elements are intertwined in the visual language of these movies. The research would like to answer these questions through the politics of (in)visibility and those artistic instruments that aim to transform the unseen âOtherâ into visible. Therefore the thesis displays two competing visual attitudes towards the representation of migration: one by the neo-authoritarian state propaganda and another by the contemporary Hungarian cinema.",Degree: MA,PDF file (430k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,,MA,0,1
