department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1420150,http://www.etd.ceu.edu/2019/zhandossova_zhanar.pdf ,"Zhandossova, Zhanar Zhandoskyzy","Shareholder`s right to litigate in the US, Germany and Kazakhstan : comparative analysis / Zhanar Zhandoskyzy Zhandossova","Budapest : Central European University, 2019",54 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/31,English,"The most important principles of corporate governance under modern conditions include the principle of ensuring the protection of shareholders' rights and the principle of equal treatment of all groups of shareholders, including minority and foreign shareholders, guaranteeing equally effective protection to each of them in case of violation of their rights. In the US, protection of shareholders` rights to litigate is ensured by direct and derivative actions allowing the shareholders not only to sue the director of the company but also a third party on behalf of the corporation. Protection of shareholders` rights through derivative instrument also exists in most European countries, however with some differences, such as `lawsuit admission procedure` in Germany. Nowadays, there is a rapid development of corporate governance in Kazakhstan which requires, as a priority, the activation of the responsibility mechanism of directors and, subsequently, the protection of shareholders' rights from the unfair activities of directors. Existing law of the Republic of Kazakhstan on Join Stock Companies does not allow us to speak about any effective exercise of shareholders` rights to litigate. The main purpose of this thesis is to find out whether shareholders of Kazakhstan are able to litigate and if there is any limitation in exercising of these rights. Furthermore, this paper is also going to investigate the existing mechanisms used in foreign countries in particular through comparative legal analysis in three jurisdictions: the US, Germany and Kazakhstan. Advantages and disadvantages of instruments exercised in protecting shareholders` rights in the US and Germany will be investigated with the possibility of implementing these instruments into the corporate governance system of Kazakhstan. Conducting of this research should contribute to the development and ultimately stabilization of the entire system of corporate relations of companies in Kazakhstan.",Degree: MA,PDF file (439k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
School of public policy,MA,https://tinyurl.com/sppma2018,2018,41,https://sierra.ceu.edu/record=b1401836,http://www.etd.ceu.edu/2018/borisova_darina.pdf ,"Borisova, Darina",The nature of the Brexit referendum vote : testing three theories of voting behaviour in EU referendums / Darina Borisova,"Budapest : Central European University, 2018",55 p. ; 30 cm.,CEU School of Public Policy master theses ; 2018/19,English,"The thesis examines the controversial nature of the 2016 Brexit referendum vote, which resulted in majority of citizens supporting the United Kingdom’s withdrawal from the European Union. The paper aims to explain behaviour of the British voters and identify the factors on which the decision to vote “Leave” was based. Thus, congruence analysis is conducted to better achieve the aim of the work. In particular, three main theories of voting behaviour in EU referendums – issue-voting, second-order election and utilitarian – are first thoroughly examined and then applied to the Brexit referendum in the empirical part of the thesis. As a result, the study not only determines the key factors that can explain behaviour of Britons in the referendum, but also identifies the voting behaviour theory with the strongest explanatory potential regarding the Brexit case.",Degree: MA,PDF file (813k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399916,http://www.etd.ceu.edu/2018/poltoratskaya_vikt.pdf ,"Poltoratskaya, Viktoriia",Accountability of federal systems : factors of budgetary performance in Russia and Germany  / Viktoriia Poltoratskaya,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/28,English,"This work is devoted to the analysis of two federations - Germany and Russia in the period from 1991 to 2016. This research is answering the question why, despite the existing legacy of federative relations with the substantial level of decentralization and accountability with democratic traditions German regions does not show good budgetary performance, whereas in the absence of historical legacy and accountability mechanisms and with the high level of political centralization in Russia, it is possible to create system with the better budgetary performance. The hypothesis of this research was that indeed, the historical heritage and democratic rules increase the level of decentralization and accountability, but this does not necessarily lead to better budgetary performance because of the weak budgetary constraints and incentives. The results of this study approve this hypothesis. Tested by crisp-set Qualitative Comparative analysis this research shows several important tendencies. Despite of the historical roots, federal legacy and democratic type of regime leading to a greater level of decentralization, budgetary performance is not a direct consequence of such a system. With a relatively high level of decentralization, many of Germany's decentralization mechanisms work towards a worse performance. In particular, a strong level of fiscal decentralization, a lack of transparent budgetary allocation mechanisms (which are mainly related to the type of parliamentary political system), and a large number of equalizing federal transfers together with an uncontrolled regional opportunity to borrow money lead to a worse budgetary performance in that country. On the other hand, a more centralized system with lower level of accountability more often shows the better results in terms of budgetary performance, although some centralization tendencies (primarily political ones) do not contribute to the best level of budgetary indicators. Thus, the main conclusion of this work that hard budget constraints together with transparent responsibilities division allow a higher level of budgetary performance in Russia and Germany. These findings contribute to the literature on political economy of federal systems.",,PDF file (987k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2018,2018,22,https://sierra.ceu.edu/record=b1399169,http://www.etd.ceu.edu/2018/urbanowicz_roman.pdf ,"Urbanowicz, Roman",A nonsense of border and ontologies in the making : production of difference on the Belarusian-Lithuanian borderland / Roman Urbanowicz,"Budapest : Central European University, 2018",64 p. ; 30 cm.,CEU Sociology Department master theses ; 2018/9,English,"Although the fact that borders themselves do not reflect pre-existing divisions, but rather produce them is well established in anthropology, the particular mechanics of the border work upon the production of differences is not so often examined. It is especially true if difference and differentiation are conceived at the level of optics – entailing emerging and circulating classifications and conceptions of (in)commensurability – instead of representations. The state border between Belarus and Lithuania, in many of its parts inhabited by Polish population from both sides, constitutes a distinctive example of a restricted geopolitical border – the external one of the EU – that replaced clearly formal and not corresponding to any existed cultural division – yet not inconsequential – administrative line from the Soviet times. The local effect of the state-work in the production of estrangement is examined in the thesis, as well as the circulating notions of the meaning(lessness) of the border. One scrutinised dimension of this process is the emotional experience of the factual separation, established by restrictive visa regimes and border control. On the other hand, emotional modalities, through which personal experiences of the divide are expressed, are tightly interconnected with ‘the sense of border’ at its ideational level. This, in turn, leads to further exploration of the dynamics of the popular conceptualisation of the emerged difference, expressed through the vocabulary of ‘civilizational’ and geopolitical meanings produced by the states and utilised by popular political imagination. Further on, possibiliеties of critical engagement with both existing scholarship on post-socialist borders and the ontological turn in anthropology are outlined.",Degree: MA,PDF file (523k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Economics,MA,https://tinyurl.com/ecoma2019,2019,72,https://sierra.ceu.edu/record=b1421201,http://www.etd.ceu.edu/2019/racz_tibor.pdf ,"Rácz, Tibor",How does whistleblowing and leaking affect anti-money laundering policy changes in the European Union? / Tibor Rácz,"Budapest : Central European University, 2019",72 p. ; 30 cm.,CEU Economics Department master theses ; 2019/23,English,"Purpose: The purpose of this Thesis to detect whether whistleblowing and exposed leaks are triggers for anti-money laundering policy changes and analyze those changes in the European Union and in some of the Member States of the European Union. Design/Methodology/Approach: Literature review, analysis of recent scandals and the policy responses. Additionally I conducted an interview with the member of the cabinet of Věra Jourová, European Commissioner for Justice, and Consumers and Gender Equality. I also analyzed news, investigative articles, and leaked database connected to money laundering schemes. Findings: Such giant leaks like the Panama Papers, revealed three years ago, has serious impacts on policy making, even in the anti-money laundering field in the European Union. The purpose of money laundering is to hide the origin and legalize dirty money, therefore without insider information, for example transfers from banks and mails would be very hard to know about the process and regulate the field. Money laundering is also a threat not just for the financial sector but the whole economy. Originality/Value: The topic is original, because this connection between leaks and anti-money laundering policy changes has rarely been subject of research that was also one of the limitations of the Thesis. That is also the reason behind I used sources like newspapers or database of investigative journalist organizations. The papers value also that I used real transactions from leaks thanks to Organized Crime and Corruption Reporting Project for get me access to their database.",Degree: MA,PDF file (995k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Nationalism,MA,https://tinyurl.com/natma2019,2019,18,https://sierra.ceu.edu/record=b1421284,http://www.etd.ceu.edu/2019/henic-sarajlic_ajla.pdf ,"Henić Sarajlić, Ajla",Enduring transition in Bosnia-Herzegovina : symbolic reparations for torture camp survivors case study of Prijedor / Ajla Henic Sarajlic,"Budapest : Central European University, 2019",88 p. ; 30 cm.,CEU Nationalism Studies master theses ; 2019/7,English,"In the wake of war, the victims who have been the target of past human rights violations, are in need of a collective societal response. In this regard, symbolic reparatory justice has become one of the mechanisms that can meet victims needs and sufferings. Concretely, dealing with memory in order to avoid denial and revisionism is essential for the process of healing not only for victims, but also for the political community it which they are ascribed. The purpose of the thesis is to focus the attention to the needs of torture survivors of Omarska, Keraterm and Trnopolje camps settled in 1992 in Prijedor during the Bosnian war. The main finding of the research is that, after more than twenty-five years, survivor’s sufferings remain still unaddressed and the concentration camps are unmarked. This demonstrates how Prijedor, BiH and the former Yugoslav sphere have not reconciled with its evil past. Hence, departing from the belief that an adequate post-conflict environment is essential for the healing of victims and survivors, the research conducted in-depth interviews for making an analysis of the actual demands on truth and justice for survivors in Prijedor.",Degree: MA,PDF file (930k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Sociology,MSc,https://tinyurl.com/socma2020,2020,27,https://sierra.ceu.edu/record=b1429143,http://www.etd.ceu.edu/2020/golusin_slobodan.pdf ,"Golusin, Slobodan",Formation of informal and decentralized value chains through platform outsourcing : exploring the network of Serbian UpWork freelancers / Slobodan Golusin,"Budapest : Central European University, 2020",62 p. ; 30 cm.,CEU Sociology Department master theses ; 2020/8,English,"This thesis explored the case of the formation of value chains through the outsourcing of work via digital labour markets. It illuminates on how these value chains span beyond digital labour market UpWork and are built on the local relations within Serbian freelance network. The main question of the thesis is how the organization of production specific to UpWork, as well as locally conditioned market positions and structural differences of freelancers, shape the relations within this network. Firstly, I analyse how the value chains span into the network through re-outsourcing of work between freelancers and enable value capture for individual freelancers. Those who outsource act as suppliers in the value chains and depend on trust relations with their subcontractors, while those subcontractors who are in weak structural positions both on the platform and domestic labour market depend on them for access to jobs and platform reputation. Secondly, I show how the network is utilized for learning, as well as social and emotional support. As freelancers act as fragmented suppliers of which majority is in extremely precarious positions and acts mostly as a labour reserve army, these processes are needed for their further engagement in the market. Furthermore, due to structural constraints, this network lacks capacities for political organization and it serves primarily individuals to compete within these value chains. Thus, the processes of value creation and capture, learning and cooperation, as well as relational work, which are regularly integrated into firm value chains, are in the case of platform outsourcing dispersed and decentralized throughout the freelance networks constructed from the bottom-up.",Degree: MA,PDF file (1015k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2018,2018,43,https://sierra.ceu.edu/record=b1399930,http://www.etd.ceu.edu/2018/toth_gergo.pdf ,"Tóth, Gergő",Social interaction as cues : a low-cost tool for changing political opinion / Gergő Tóth,"Budapest : Central European University, 2018",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2018/42,English,"Social science literature has long investigated the relationship between political behavior and social networks, however, it is usually hard to excavate a true causal relationship between political views and social affiliations. The common feature of political science literature related to a social network is that they mostly focus on whether the individuals’ political views and their social networks co-evolve or not. According to the recent literature, social networks do not simply evolve but also stimulate our political behavior. Most of the literature finds that people seek individuals with similar political views to be friends with and individuals who often talk to each other tend to be more similar over time Although there is broad agreement on that while our social network is dynamically flourishing, it is also affecting our attitude, but the process of this impact is still not clear. This research aims to examine the channel between social affiliations to the changes of political behavior. The research uses network data collected from experiments to specify the social affiliation effects on the change of political views under a deliberation process. The results suggest that, on the one hand, political opinion significantly influences friendship network formation, which fosters social homophily. On the other hand, a significant spillover effect has found on the likelihood of political opinion change, where the spillover effect strongly depends on the peers’ network centrality.",,PDF file (1517k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Legal studies,MA,https://tinyurl.com/legalma2019,2019,50,https://sierra.ceu.edu/record=b1424437,http://www.etd.ceu.edu/2020/zeljko_darija.pdf ,"Zeljko, Darija",Gender stereotyping in cases of sexual violence? : an analysis of regional human rights courts and Croatia / Darija Zeljko,"Budapest : Central European University, 2019",128 p. ; 30 cm.,CEU Legal Studies Department master theses ; 2019/42,English,"This thesis explores an emerging issue of gender stereotyping in cases of sexual violence, with the emphasis on rape. One of the main aims of this research is to analyze to which extent the harmful gender-based stereotypes are still present when it comes to cases of sexual violence and what are the most effective ways of combating them. Topic is important since gender-based myths and stereotypes hinder women’s access to justice and in long term contribute to their re-victimization, especially in cases that are so delicate as rape. Research focuses on the practice and jurisprudence of the regional human rights bodies (namely, the European Court of Human Rights, the Inter-American Court of Human Rights and the Inter-American Commission on Human Rights) in addressing and combating harmful gender-based stereotypes. The aim of this comparative analysis is to answer which regional actor went the furthest in addressing and contesting gender-based stereotypes in general, particularly those that are prevalent in rape cases. Also, establishing their ‘best practices’ is important because such practice can be useful to states which are not successful in fulfilling their international and regional obligations in this specific field. My personal contribution to this topic comprises of detailed and critical assessment of the de iure and de facto situation regarding sexual violence in Croatia. If analysis shows that there are some deficiencies in domestic (Croatian) legislation and/or institutional practice, then those international standards and developments can be used as useful guidance in order to eliminate them.",Degree: MA,PDF file (1611k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
Political science,MA,https://tinyurl.com/polma2019,2019,46,https://sierra.ceu.edu/record=b1423959,http://www.etd.ceu.edu/2019/iqbal_muhammad.pdf ,"Iqbal, Muhammad Osama",Religion and the liberal state : liberal neutrality in the post-secular age / Muhammad Osama Iqbal,"Budapest : Central European University, 2019",67 p. ; 30 cm.,CEU Political Science Department master theses ; 2019/46,English,"Religion has traditionally been an important consideration in political philosophy. The most recent milestone in political theory and practice, with regards to religion, was achieved during the 17th century i.e. secularism. However, after the recent religious resurgence in public and political affairs throughout the world, the issue of regulating religion has reemerged as a challenge to contemporary liberal democracies. Therefore, the puzzle that liberalism’s basic architecture and secularism as a basic pillar of achieving religious toleration were specifically solutions to specific provincial (European) issues, increases the salience of religion today and demands a reevaluation of the basic tenets of this debate. This thesis argues, that due to certain blind spots in Liberal Political Thought’s (LPT) understanding of religion, LPT’s secularism promises to uphold liberal neutrality (neutrality of the state towards ethical conceptions) universally, however, secularism, due to its Christian-inflicted history and origins, requires a reconceptualization in order to uphold the ideal of liberal neutrality.",,PDF file (501k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
IR,MA,https://tinyurl.com/iresma2020,2020,39,https://sierra.ceu.edu/record=b1429246,http://www.etd.ceu.edu/2020/connolly_alexander.pdf ,"Connolly, Alexander Robert",Canadian rangers : a space for the hybridization of governmental and indigenous security discourses / Alexander Robert Connolly,"Budapest : Central European University, 2020",49 p. ; 30 cm.,CEU International Relations Department master theses ; 2020/12,English,"Derived from the Pacific Coast Rangers, who were created in the latter years of the Second World War, the present Canadian Rangers, who operate in the North, are a military force of mainly Indigenous individuals, with many from the northern provinces being Inuit. Thus, while the Rangers are technically a member of the Canadian Forces, their unique membership with the northern communities separates them from traditional army discourse. The role of the Canadian Rangers in the Arctic theatre is to provide a continuous sovereign presence in the north and assist in the training of southern troops on how to survive the gruelling conditions of the Arctic. However, they also assist the everyday lives of Inuit and Indigenous communities where they are stationed. The below project will illustrate how the interaction of the Inuit and the Canadian Forces within the Canadian Rangers acts as a space for a ‘hybridization’ of security through the actions of Arctic training exercises and patrol missions",Degree: MA,PDF file (432k),ETD,Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,,
