department,program,lib_link,year,thesis_in_that_year,thesis_link,pdf_link,Author,Title,Published,Description,Series,Language,Summary,Note,File Type,Local note,Access,System Det,Subject,Alt Title
Gender studies,PhD,http://tinyurl.com/zkm3x95, PhD (all years),37,https://sierra.ceu.edu/record=b1160516,http://www.etd.ceu.edu/2011/gphmid01.pdf ,"Minic, Danica",Gender sensitive journalism and television media in Serbia and Croatia  / Danica Minic,"Budapest : Central European University, 2011",385 p. ; 30 cm.,CEU Gender Studies Department PhD theses ; 2011/2,Sex differences in mass media,English,"My thesis engages with controversies in feminist media scholarship regarding the objectives of, and the possibilities for, feminist cultural politics in the mainstream media. More specifically, I examine the principles and practices of gender sensitive journalism, and the opportunities for it in the television media. I contribute to feminist media scholarship by identifying the main aspects of feminist normative ideas about gender equality in journalistic content and by offering more insight into how different factors enable or hinder feminist agency in the mainstream media. My project is also the first full-length study in the areas of gender and journalism and feminist media activism in Serbia and Croatia, and it fills a gap in gender and media research on the two countries after 2000, the year when the authoritarian regimes were ousted. I explore these developments by analyzing two main sets of data: the selected Serbian and Croatian television programmes and my interviews with their producers and feminist media activists from womenâ€™s NGOs, who have tried to introduce aspects of gender sensitive journalism into the mainstream media.",Unrestricted,System requirements: Adobe Acrobat Reader; PostScript compatible printer,PDF file (2517k),PDF,Gender identity in mass media,
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1158251,http://www.etd.ceu.edu/2011/sphkoc01.pdf ,"Kocze, Angela","Gender, ethnicity and class : Romani women's political activism and social struggles / Angela Kocze","Budapest : Central European University, 2011",210 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2011/2,Women political activists,English,"In the academic literature on Roma/Gypsies there is only a limited attention on Romani women political activism and social struggle. The concept of gender rather treated as an isolated category than as a social factor which intersects with other categories of identity for purposes of understanding and combating inequality. The aim of this dissertation has been to explain and analyze through empirical material the manifestations of gender, ethnicity and class in contemporary Romani women’s life. To narrow my study, I have focused on transnational and local (particularly Hungarian) Romani women’s political activism and social status, from the structural through the discursive and biographical level. I aimed to go beyond the superficial representation of women’s activism, by describing the complicated relationship and intercations among donors, NGOs, other Roma and non-Roma activists, and also within their groups. With the above outlined concerns in my mind, I undertook an empirical research project at the transnational level (mapping the various Roma networks and international resource centers) and at the local level (Szikszó, Hungary). As part of my research, I closely observed “women’s issues” at the transnational and the local level, as well as discourses and activities through which they promote “Romani women’s rights” and “human rights and democracy” under the banners of “empowering Romani women”. This area is under-researched and lacks theoretical conceptualization. The approach I have opted to take bridges empirical and theoretical gaps in the study of sociology and anthropology, particularly in respect of the representation of Roma in the academic text as well as to raise the profile of the research field by diminishing the marginalized position of them within the social sciences as a whole.",Degree: PhD,PDF file (2324k),ETD,Unrestricted,"Women, Romani -- Hungary",
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1152157,http://www.etd.ceu.edu/2011/p04bem01.pdf ,"Bernaciak, Magdalena",Trade union responses to cross-border competition in the enlarged EU : evidence from the automotive and construction sectors / Magdalena Bernaciak,"Budapest : Central European University, 2011",222 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2011/1,Trade-unions -- European Union countries,Industrial relations -- European Union countries,Transnationalism,Labor mobility,Automobile industry and trade -- European Union countries,English,"This dissertation explores under what conditions West and Central-East European trade unions cooperate with each other. It focuses on the d65, which is a critical case for East-West labor transnationalism in view of the importance of cost comparisons among car plants in different countries. The analysis of Polish-German union relations at three car and car component manufacturing companies, Volkswagen’s engine plants, GM and MAN, shows that the German unions sought to establish cooperative links with their Polish counterparts in the areas subject to cross-border comparisons, when no national negotiation channels were available to them and thus the danger of underbidding by the cheaper Polish plants was particularly high. The Poles, in turn, cooperated in exchange for the Germans’ support, only if they expected to benefit more from the Western assistance than from local solutions. Alternatively, they did not hesitate to utilize their comparative advantage of lower wages and inferior working conditions to attract new production. The resulting cooperation was based on reciprocal exchange. The Germans helped the Poles build up their organizations and assisted them during disputes with the local management, whereas the Poles committed themselves not to underbid the Germans during investment distribution rounds. Overall, East-West European labor transnationalism was guided primarily by cost-benefit considerations. The evidence on GM unions’ reactions to the economic crisis of 2008-2009 corroborates this assertion, showing that German employee representatives used enhanced government access to secure the interests of their sites at the cost of other locations, which led to deep divisions in the once unified cross-border GM labor front.  The last chapter tests the above arguments against evidence from the construction sector, in which the inflow of CEE workers to West European labor markets constituted a major source of competitive pressure. It shows that the mechanism governing interactions between Polish and German construction unions resembled the one identified in the car industry. Specifically, the scope of cooperation remained narrower due to the German union’s attachment to national solutions and limited gains derived by the two Polish organizations from participating in migrant workers’ assistance schemes.","CEU Doctoral School of Political Science, Public Policy and International Relations",
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1164782,http://www.etd.ceu.edu/2013/fphtug01.pdf ,"Turturea, George Romeo",Can interdependent reasoning help provide a solution to the problem of political obligation? / George Romeo Turturea,"Budapest : Central European University, 2013",217 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2013/1,English,"My purpose is to provide an answer to the question whether interdependent reasons for action can help provide a solution to the problem of political obligation. I propose an investigation which unfolds in two parts. In the first part, I examine the relationships that hold between personal autonomy, political authority and rationality, focusing on a reading of these relationships according to which, even though autonomous individuals may not a have reason to comply with the directives of political authority as long as they consider the matter from the standpoint of individual rationality, they may nevertheless have a reason to comply with such directives if they consider the matter from the standpoint of collective rationality. I explore the strengths and limitations of a model that tries to provide the normative foundations of political obligation by employing the principle of collective rationality, and conclude that, while the principle of collective rationality plainly dictates a greater level of compliance with the law than the principle of individual rationality taken in conjunction with an individual’s moral values would dictate, the same considerations which are invoked to establish the need to appeal to a principle that would give one a reason to obey the law over and above what substantive moral principles working within the framework of individual rationality give one reason to do might render implausible any attempt to account for political obligation by reference to such substantive moral principles. To deal with this difficulty, I introduce a particular conventionalist account, hoping to take a step in the direction of rehabilitating the idea that the reasons for obeying the law can be accounted for by appeal to substantive moral considerations.  In the second part, I scrutinize the main arguments used within the conventionalist framework that I focus on in order to back up the claim that political obligation, if it exists, can only be accounted for in terms of interdependent reasons for action. I look at the idea that a promising strategy in dealing with the problem of political obligation is to show that the treatment of ordinary coordination problems can be extended to other game theoretic situations, such as the prisoner’s dilemma. I find that the conventionalist account is able to answer the objection that any conventionalist account of authority and political obligation is misguided because the conventionalist analysis cannot properly be applied to situations of significant conflict of interests. I also argue that, in order to defend the conventionalist view according to which political obligation is to be justified by reference to a pattern of mutual expectations, one should make crucial use of the idea of cooperative dispositions. To this end, I show that conventionalists are right in claiming that assumptions about cooperative dispositions are not ad hoc, and, hence, that conventionalism can make sense of the idea that patterns of mutual expectations are not immune to moral criticism.",Degree: PhD,PDF file (1326k),ETD,Unrestricted,,Political obligation,
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1175397,http://www.etd.ceu.edu/2014/kiss_agnes.pdf ,"Kiss, Ágnes","Censorship between ambiguity and effectiveness : rules, trust and informal practices in Romania (1949-1989) / Ágnes Kiss","Budapest : Central European University, 2014",260 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2014/2,Censorship -- Romania,English,"In this dissertation, I present and discuss in detail the underlying formal organizational solutions and everyday informal practices contributing to the effective implementation of ambiguous censorship norms. Notwithstanding the persistent interest in the study of state censorship, the aspect that certain levels of coordination have to occur under invariably vague regulations is surprisingly neglected. Yet, given the role played by censorship in sustaining non-democratic regimes, the Soviet-type for instance on which the present analysis is centered, how the system internally managed to deal with uncertainties concerning censorship norms, and how the main actors coped with it, is surely a pertinent question. The research was designed to address both formal and informal aspects of the censorship process. For assessing formal organizational solutions, I use mid-level theories developed in the vein of the structural contingency approach to organizational design, whereas for the study of informal practices, I draw on theoretical insights offered by the comparative political science literature and a conceptual typology of informal practices/institutions that I developed based on three typologies (Nee and Ingram 1998, Lauth 2000, Helmke and Levitsky 2006a). In terms of methods, I combine institutional analysis and historical ethnography, which involves processing data derived from official documents and subjective sources (interviews, memoirs, diaries and contemporary correspondence). The empirical analysis is based on a single case, that is, the Romanian censorship system in the state socialist period (1949–1989). Within the case, the focus on formal mechanisms is narrowed to the extreme end of the pre-publication procedure, the activity of local censors’ offices namely. With regards to informal mechanisms, the analysis is focalized on positive interpersonal relationships between the actors of the censorship system, particularly those nurtured among the controllers and controlled, and the allied informal practices. The intensive analysis of the Romanian case resulted that the effective implementation of the censorship policy was maintained by a complex set of formal organizational coordination and control mechanisms that were appropriately designed to meet critical contingencies (i.e. task uncertainty), as well as by various types of informal practices based on trust-centered interpersonal ties. The types of informal practices that furthered the formal scopes of censorship include the spread and clarification of information regarding censorship norms via peers and censors (complementary informal practices), censors sharing confidential directives (accommodating practices), as well as counseling and ensuring with controllers prior to official checking (substitutive practices). The fourth type comprises interactions that eventually undermined the effectiveness of the censorship policy, practices such as negotiations between the censors and editors-in-chief/authors, intervening through personalized networks on behalf of a publication, or taking a risk by turning a blind eye to problematic issues (competing of practices). These findings complement accounts of the functioning and effectiveness of the Soviet-type censorship system primarily focused on macro institutional and organizational configurations. Furthermore, the results shed light on practices constituting the domain of “self-censorship”, which is also claimed by the literature to represent an important factor contributing to the effectiveness of censorship. Finally, by focusing on positive interpersonal ties and related practices, the findings considerably alter the dominant narrative centered on negative relationships between the controllers and the controlled, yet they also show that many interactions based on positive ties had the same effects as their negative counterparts: raising the performance of the censorship system.",Degree: PhD,PDF file (2650k),ETD,Unrestricted,"CEU Doctoral School of Political Science, Public Policy and International Relations",
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1167321,http://www.etd.ceu.edu/2012/aungo_justus.pdf ,"Aungo, Justus Bw'Onderi","Development as chaos : agromanufacturing, dispossession and plantation laborers everyday in Kenya / Justus Bw'Onderi Aungo","Budapest : Central European University, 2013",268 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2013/1,Kenya -- Economic conditions,Sugar plantations -- Kenya,English,"The dissertation is based on two and half years of field research in South Nyanza Sugar plantations in Kenya. It explores agromanufacturing- from the colonial period to the present-day Kenya to show the evident underlying continuity of colonial structures and contradictions characteristic of different large-scale commercial agriculture as a strategy of national and regional development across the country. By focusing on everyday lives of the plantation labourers in the South Nyanza sugarbelt, the dissertation reveals the nature and dynamic of development generally and the large scale commercial farming economy in particular as unpredictable and chaotic. What is more significant from the findings is the demonstrated acceptance, integration and accommodation of chaos into the constitutive and operational logic of the plantation economy and its development itinerary. Throughout the dissertation, the relations between the agromanufacturing complex as a structure designed for modernization intervention and the invisible everyday lives of those in its orbit are shown to be characterized by unpredictability, contradictions, differentiations, violence, deprivations and exploitative dispossession. Combined, these make lives under such development interventions insecure, disjointed, vulnerable and disorderly. My study contributes to the sociology and social anthropology of development by proposing a fresh look at development interventions as ‘chaotic projects’ which produce disorder rather than smooth solutions to technical disorder. Such a look, building on works of other such as Tania Li and James Ferguson, integrates the ideas of Foucault to show how development has in effect become a series of normalizations where more attention is focused on making things seem normal rather actually transforming them. For instance, the study shows how dispossession of land, labour and employment safeguards are part of repertoire of tactics employed to enhance efficiency and productivity in the factory though they expose the plantation workers and villagers to extreme deprivation and invisibility. Furthermore, the study responds to the significant absence of a disciplinary society approach to development related research in Africa though much of the interventions are implemented as disciplinary projects. By combining Foucault’s conception of power and the concept of chaos in studying agromanufacturing as development in Kenya, the study shows how development is not only chaotic but sustained by chaos: under development, disorder is the order. This is the central argument in the dissertation.",Degree: PhD,PDF file (2632k),ETD,Agriculture -- Economic aspects -- Kenya,
Medieval studies,PhD,http://tinyurl.com/c9f9lq, PhD (all years),43,https://sierra.ceu.edu/record=b1204418,http://www.etd.ceu.edu/2017/orban_aron.pdf ,"Orbán, Áron",Born for Phoebus : solar-astral symbolism and poetical self-representation in Conrad Celtis and his humanist circles  / Áron Orbán,"Budapest : Central European University, 2017",304 p. ; 30 cm.,CEU Medieval Studies Department PhD theses ; 2017/2,CEU Doctoral School of History,DOI: 10.14754/CEU.2017.01,"Fifteenth-sixteenth-century Germany – and Renaissance Europe in general − witnessed a growing interest in natural philosophy (including occult disciplines), the laws of nature, and the correspondences between micro- and macrocosm. On the other hand, the enhanced self-consciousness or even pride of the Renaissance author compared to that of the earlier medieval one is a long established commonplace; indeed, humanist poets were inclined, in varying degrees, to self-fashioning, self-mythologizing. My interdisciplinary study focuses on the junction of these two basic habits of mind of German humanists around 1500. I reveal solar and astral (mainly astrological) symbolism in Neo-Latin poetical works and visual artworks of this period, and investigate how this cosmic symbolism was used for self-representative purposes. Among the German humanists I focus on Conrad Celtis (1459-1508), the “„arch-humanist” of Germany, the first poet laureate of his nation, the ""bringer of the muses"" to the German land. Celtis's personality, poetic talent, ambition, scientific-philosophical interests, his assumed role − all this resulted in various interesting ways of ""cosmic"" self-representation; I argue that this is a core area of his whole poetical oeuvre. In the investigated period of German humanism (c. 1485-1510), some other poets who were friends of Celtis also employed astronomical, astrological, cosmological imagery in the construction of their (or the group's) humanist identities, in various ways, to various extent: Jakob Locher, Laurentius Corvinus (Rabe), Johannes Tolhopf, Augustinus Moravus; I involve in my research representative works of these authors, too. The first chapter reviews the poetological background of the enhanced vates-ideology of the German humanists: the humanist revaluation of poetry in the Renaissance and the “„defense of poetry” tradition. The second chapter overviews Celtis’s ideas about astronomy-astrology, micro- and macrocosm in general. Chapters 3-6 explore Celtis’s and his firends’ strategies of “„cosmic” self-representation through analyses of specific works. Humanists could support their vates-role by means of their (idealized) birth horoscope or the horoscope of laureation (ch. 3-4); or they could develop a complex Phoebean symbolism based on Phoebus, the solar god who supports the poet in various ways (ch. 5). Humanist group-identity could be strengthened through a Phoebean-Bacchic symbolism and the mythologizing of humanist feasts (ch. 6).",Degree: PhD,PDF file (9848k),ETD,Unrestricted,,
Sociology,PhD,http://tinyurl.com/kqqlj35,PhD (all years),36,https://sierra.ceu.edu/record=b1423998,http://www.etd.ceu.edu/2020/tsoneva_jana.pdf ,"Tsoneva, Jana Mariyanova",The making of the Bulgarian middle class : citizens against the people in the 2013 protests / Jana Mariyanova Tsoneva,"Budapest : Central European University, 2020",443 p. ; 30 cm.,CEU Sociology Department PhD theses ; 2020/1,Bulgaria -- Social life and customs,Bulgaria -- Social policy,English,"This thesis provides an empirically-driven theory of the formation of the ‘middle class’ in a peripheral country: Bulgaria between 2002-2013. Based on low wages and low taxes, the country’s political economy mitigates against the emergence of а ‘broad middle’ habitually associated with the developed welfare states of the West. 80% of the working population ekes out less than 500 EUR monthly, making Bulgaria the poorest EU-member state. After three decades of neoliberal reforms, the country’s class structure resembles that of a Third world country: a tiny opulent minority sits atop a vast ocean of poverty. The unpopularity of this mode of economic development prompted the liberal ideologues of the Transition to create a social base for the liberal reforms in the early 2000s, a project that culminated with the 2013 anti-corruption protests. Therefore, I analyze the insurgent “middle class” as a political, rather than economic formation. More specifically, I explore the formation of the Bulgarian middle class from the vantage point of the 2013 summer protests. That year saw feverish protest mobilizations in two phases in winter and summer. Even though these protests occupy determinate temporal frames, their significance reverberates to this day because commentators continue to make sense of current events through the prism of the “long 2013.”  Time and again pundits and participants stated that the summer protests portended the birth of the middle class. I follow these discussions in the public sphere and tease out the vectors of inclusion into the self-identified middle class.  The first part of the thesis focuses on class formation and class consciousness where class is understood in materialist yet non-economistic terms. I offer a way of thinking about the problem of the ‘middle class’ that breaks with the double objectivism of structural and mechanical theories extrapolating its existence from the laws of capital in Orthodox Marxism, on the one hand, and from liberal stratification theories which rely on arbitrary income brackets to discern its existence, on the other. Because of the strong emphasis on class polarization, inherited from the Manifesto, the ‘middle class’ has traditionally posed a challenge Marxists have tended to overcome via a recourse to Weberian ‘prosthetics’.  In contrast, I treat class as a political becoming, every class is always-already a “class against”. Thus, a ‘subjectivist’ approach to social class is well suited to understand this formation. To this end, I fashion a theoretical apparatus out of Pierre Bourdieu’s sociology and the Essex School’s Discourse Theory to account for the discursive and polemical constitution of the middle class of the 2013 summer protests. This theoretical amalgam offers a polemical slant to theorizing class formation, resonating with some early remarks on the political nature of social class by Karl Marx.  I do so against the backdrop of the thorny path of the neoliberal reform in Bulgaria. I argue that the middle class is the crystallization of a long search on part of policy elites, civil society practitioners and democratization experts to find the “social base” for the neoliberal reform, perceived as increasingly beleaguered by populism, left and right.  One such challenge to the reform consensus came in the wake of the winter protest of 2013. It rebelled against austerity, poverty and the political establishment, yet it did so by poaching the liberal semantic field and appropriating the language of “civil society”. The summer protests re-appropriated the appropriation and, in the process, subjectivized itself as “middle class” against the winter protests and the corrupt oligarchic elite.  The second part of the thesis traces the effects the 2013 class imaginaries exert on the formal and universalistic political equality under liberalism. The discourse of “the middle class” organized the protesters’ normative visions about citizenship and national identity along increasingly inegalitarian, demophobic and elitist lines.  This dissertation thus follows an instance of ‘class struggle’ unfolding on the terrains of civil society, citizenship and nationhood. I show how the radicalization of imaginaries about class difference are projected onto the political field resulting in a tendency to question formal equality under liberalism.",Degree: PhD,PDF file (4468k),ETD,Middle class -- Bulgaria,
Philosophy,PhD,http://tinyurl.com/yhque8b, PhD (all years),45,https://sierra.ceu.edu/record=b1189216,http://www.etd.ceu.edu/2016/somodi_gergo.pdf ,"Somodi, Gergo",A perlocutionary account of metaphors / Gergo Somodi,"Budapest : Central European University, 2015",151 p. ; 30 cm.,CEU Philosophy Department PhD theses ; 2016/1,Analysis (Philosophy),English,"Much has been said about metaphors in philosophy of language, but few such thought provoking and controversial papers had been written on how they “work their wonders” than Donald Davidson’s What Metaphors Mean (1978). In the last four decades many linguist, philosopher and cognitive scientist, working on an account of how we communicate by means of metaphors, started with pointing out what Davidson got wrong or right. His view that metaphor carries no special meaning or content different form the literal meaning of the expressions it is comprised of, that it is simply a tool to draw our attention to similarities, served as the starting point for many to articulate their own theory (cf. Bergmann, 1982; Rorty and Hesse, 1987; Moran, 1989; Hills, 1997; Stern, 2000; Camp, 2003; Guttenplan, 2005; Reimer and Camp, 2006; Camp, 2008; Stern, 2008; Reimer, 2008; Lepore and Stone, 2010). is thesis is no different. I think what Davidson essentially got right is emphasizing the causal effects of metaphors, i.e., that metaphors nudge us into noting similarities, to take on a new perspective on the mentioned things. He also thought—to anticipate, this will be where I disagree—that this is the ulterior aim of metaphor and the metaphorical speaker. Consequently, according to Davidson, there is no special meaning the speaker aims to convey, given that this effect can be achieved by the literal meaning of the uttered sentence, or its comprehension thereof. is is not to deny that the metaphor has a point iv or that it inspires a lot of thoughts. In his Communication and Convention, Davidson (1984, 273) links what he calls ulterior purposes of utterances to John L. Austin’s notion of perlocution (Austin, 1962); acts people perform by uttering sentences. Such an act for instance is, making the audience to undertake certain actions by asking them to do so, or to surprise them by what one is saying. Given this much, Davidson (1978) can be described as developing a perlocutionary theory of metaphor (cf. Lepore and Stone, 2010). My aim is to show that a perlocutionary theory does not have to follow Davidson’s arguments and conclusions, just roughly outlined above. After a careful examiniation of the notion of metaphorical meaning, the perspectival effect of metaphors, and the notion of perlocution and perlocutionary effects, I will argue, first, that metaphors’s effect of making us see something in a new light is indeed a perlocutionary effect. I call this the Perlocution Claim. Second, I will also point out that achieving perlocutionary effects are not necessarily the ulterior purposes of the speakers. In most cases, they are just one among the many intended effects a speaker can have in uttering something. Consequently, Davidson’s claims about the casual effects of metaphors will not support his conclusion that there is no metaphorical meaning beyond the perspectival effect of metaphors, in as much as there are examples where eliciting the metaphorical effect is not the final aim of the speaker. Examples are not hard to find, and they support the existence of metaphorical meaning contrary to Davidson. Nevertheless, recent theories of metaphorical meaning do not fit well with the Perlocution Claim. Partly, because they reject the claim as belonging to Davidsonian non-cognitivsm (cf. Stern, 2000), a label introduced to designate theories denying the existence of metaphorical meaning. Additionally, because they also consider perlocutionary effects to be final, non-linguistic, aims of utterances. e proposed theory of metaphor endorsing the Perlocution Claim relies on the v distinction between different possible realizations of perlocutionary effects. It incorporates a non-cognitivist theory for some examples of metaphors while at the same time, using the same theoretical framework, it provides an account of how metaphorical utterances have a special meaning on certain occasions. As a theory of metaphorical meaning, it is close to that developed by Elisabeth Camp (2003; 2008; 2014) on which if there is a metaphorical meaning, it is an inexplicit meaning which the hearer has to recover by way of cultivating the perspective offered in the metaphor.",Degree: PhD,PDF file (641k),ETD,,Language and languages -- Philosophy,
Political science,PhD,http://tinyurl.com/asr6lx, PhD (all years),77,https://sierra.ceu.edu/record=b1170202,http://www.etd.ceu.edu/2014/burlacu_diana-elena.pdf ,"Burlacu, Diana Elena","Quality of governance, political attitudes and electoral behavior / Diana Elena Burlacu","Budapest : Central European University, 2013",142 p. ; 30 cm.,CEU Political Science Department PhD theses ; 2013/3,Political psychology,Voting -- Social aspects,English,"This dissertation is an empirical study of the effects of quality of governance on citizens’ political attitudes and behavior. Previous comparative research emphasized the role of institutions in conditioning individuals’ behavior and attitudes. I argue that not only the institutional design, but also the quality of the political institutions in the country constrains citizens’ political attitudes, preferences, and decisions. I do this by examining how living in countries with different quality of governance affects people’s institutional trust,perceptions of representation and accountability, attitudes towards the welfare state, voting behavior, and election results both in an absolute sense and relative to the design of the political institutions. Doing so this dissertation builds on and contributes to the literature of comparative political behavior, contextual effects, and political institutions, and has substantive and normative implications for the study of electoral democracy. All of the empirical analyses are cross-national and employ multilevel analyses of data from Comparative Study of Electoral Systems and the World Value Survey, and different indicators of the quality of governance and political institutions.  After a brief introduction, I examine the implications of various aspects of good governance on individuals’ confidence in different public and political institutions. I find that some aspects of good governance have a stronger impact on institutional trust than others, but how the institutions provide judicial and bureaucratic efficiency and control of corruption clearly makes them look more or less trustworthy. I then look at the role of the quality of governance in shaping individual preferences toward income redistribution and social welfare policies, and find that bad governance leads to a remarkable inconsistency in individuals’ preferences, preferring more extensive social benefits simultaneously with less income redistribution. I investigate further whether people feel less represented and politicians’ less accountable under bad governance in chapter four. I find that institutional design matters more for a sense of procedural representation, while good governance is more important for substantive representation. Chapter five focuses on the link between the impact of ideology, economic evaluations and partisanship on the vote on the one hand, and corruption on the other, and the implications of cultural norms for these relationships. I find that as corruption rises, ideological considerations and sympathies towards the chief executive party weigh less in voters’ decision; and while living in a country with a strong culture of corruption does not make people adopt different voting behavior, it instills a higher likelihood of voting against the incumbent. Before concluding, I test the electoral implications of good governance for incumbent’s survival in chapter six, and find that the quality of governance is as important as the economy.",Degree: PhD,PDF file (2002k),ETD,"CEU Doctoral School of Political Science, Public Policy and International Relations",
Medieval studies,PhD,http://tinyurl.com/c9f9lq, PhD (all years),43,https://sierra.ceu.edu/record=b1150827,http://www.etd.ceu.edu/2011/mphmin01.pdf ,"Miladinova, Nadejda",Panoplia Dogmatike : a study on the antiheretical anthology of Euthymios Zygadenos in the post-Byzantine period / Nadejda Vladimirova Miladinova,"Budapest : Central European University, 2011",316 p. ; 30 cm.,CEU Medieval Studies Department PhD theses ; 2011/3,"Byzantine Empire -- History -- Alexius I Comnenus, 1081-1118",Byzantine Empire -- Religion,English,"The thesis deals with Panoplia Dogmatike, an anthology of Patristic texts complied at the beginning of the twelfth century by the renowned Constantinopolitan theologian Euthymios Zygadenos. The creation of the anthology was personally initiated by emperor Alexios Komnenos (1081-1118) and was related with the religious politics of the Byzantine Empire. In the history of Eastern Orthodox Christianity, this anthology remained as an important contribution in the systematization of the legacy of the Church Fathers and the cannon of texts which were used in the theological debates. The text gained considerable popularity with more than Greek 150 manuscripts and translations into Old Slavonic and Latin. The Panoplia consists of 28 chapters. Each of the initial seven chapters is dedicated to an important orthodox belief, while each of the following chapters refutes a major heresy in the history of the Church from the early Christian times until the twelfth century. The text is well known to the scholars dealing with Byzantium but has remained largely unexplored because of its length and monumental tradition. This thesis represents two episodes (loosely connected) in the transmission history of the anthology. The first section situates the Panoplia in the context of early modern Europe with the publication history of the first printed edition in Greek which happened in Wallachia in 1710. The dissertation proves that this edition was initiated by the Orthodox Patriarchate of Jerusalem in relation to the proselytizing activities of the Catholics and the Protestants. The inner conflicts among the Orthodox Christians necessitated the edition and the publication was connected with the coeval Eucharistic debates, which had their origins in Western Europe but were interiorized on Orthodox soil. The second part treats one single manuscript – MS Iviron grec 281 -- which shows significant differences from the Wallachia edition and the other Panoplia manuscripts which I was able to consult. Compared to the edition, the Iviron MS omits many of the Patristic texts, but adds scholia to the fragments of Pseudo-Dionysios the Areopagite and the orations of Gregory the Theologian (Orationes 28, 29, 30, 31, 38). The present study gives a sample of these scholia: it treats the fragments of Gregory of Nazianzos’ De Theologia, Oratio 30 and In Theophania, Oratio 38 as well as the five short scholia to the Pseudo-Dionysian fragments. The sources on the scholia to the text of the Areopagite lead to Ambigua ad Thomam of Maximus the Confessor. For the rest of the scholia, I was able to identify most of them as fragments authored by Nicetas Heracleensis and Elias Cretensis, two among the most prominent commentators of the Theologian. These commentaries have remained unpublished until now.",Degree: PhD,PDF file (4846k),ETD,CEU Doctoral School of History,
History,PhD,http://tinyurl.com/ycayjpm, PhD (all years),60,https://sierra.ceu.edu/record=b1427988,http://www.etd.ceu.edu/2020/medzibrodszky_alexandra.pdf ,"Medzibrodszky, Alexandra","Orthodox political theologies : clergy, intelligentsia and social Christianity in revolutionary Russia / Alexandra Medzibrodszky","Budapest : Central European University, 2020",281 p. ; 30 cm.,CEU History Department PhD theses ; 2020/1,Religion and state,Orthodox Eastern Church -- Russia,Orthodox Estern Church and culture,Christian sociology,English,DOI: 10.14754/CEU.2020.08,"The dissertation is the intellectual history of the Orthodox left during the revolutionary years of 1905-8 in Imperial Russia. The research reconstructs debates and dialogues between progressive clergy and radical religious intelligentsia following the massacre of Bloody Sunday on 9 January 1905. The dissertation interprets the visions that emerged in the network of the Orthodox left in the framework of ‘political theologies’. It focuses on three programs and their theo-political language: the Brotherhood of Zealots for Church Renovation; the Christian Brotherhood of Struggle; and the Union of Christian Politics. Members argued that the mutually dependent relationship between the tsar and the people, which served as a political bedrock for the Empire for centuries, was now beyond repair. The bloodshed was perceived as a fundamental break in Russian Orthodox political theory, and the horrible events inspired religious intelligentsia and progressive clergy to theorise about politics and social justice as Orthodox believers. The dissertation identifies the concept of Christian obshchestvennost’ (sociality) as the focal point of all programs that emerged among advocates of the Orthodox left in the period. The concept had palingenetic power, it was meant to reinvigorate the Church and to re-Christianise the whole of fin de siècle Russian society. My research argues that the theo-political imagination and language of the Orthodox left was inspired both by Russian Orthodox tradition, in particular by Modern Russian Theology; and by non-Orthodox traditions of social Christianity, but it developed in opposition to the Marxist left. The analysed projects were short-lived due to internal conflicts and repressions by Church and state, but they represent a vibrant chapter in the history of Russian Orthodox social and political thought, reflecting on theo-political concepts that remain central to the Russian Orthodox world up until today.",CEU Doctoral School of History,
Mathematics,PhD,http://tinyurl.com/cysrae, PhD (all years),63,https://sierra.ceu.edu/record=b1427973,http://www.etd.ceu.edu/2020/duyan_hulya.pdf ,"Zamora Luna, Oscar Alonso",Quantitative and extremal problems in graphs and hypergraphs / Oscar Zamora Luna,"Budapest : Central European University, 2020",84 p. ; 30 cm.,CEU Department of Mathematics PhD theses ; 2020/7,Mathematics,Degree: PhD,Probabilities,English,PDF file (749k),In this thesis we investigate several extremal problems in graphs and hypergraphs. In graphs we study generalized Turán Problems in simple graphs and in planar graphs. In hypergraphs we study Turán numbers of Berge Graphs and the Ramsey numbers of certain families.,ETD,Graph theory,
